yearID,playerID,salary,G_fielding,GS_fielding,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,W,L,G_pitching,GS_pitching,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP_right,HBP,BK,BFP,GF,R,SH,SF,GIDP,G_batting2,G_batting_total,AB,R_right,H_right,2B,3B,HR_right,RBI,SB_right,CS_right,BB_right,SO_right,IBB_right,HBP_right,SH_right,SF_right,GIDP_right,G_old,Training_Validation
2015,abadfe01,1087500,62,0,143,2,4,0,0,0,0,0,0,0,2,2,62,0,0,0,0,143,45,22,11,19,45,0.251,4.15,3,4,1,0,205,17,23,3,3,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2016,abadfe01,1250000,57,0,140,0,4,0,1,0,0,0,0,0,1,6,57,0,0,0,1,140,40,19,4,22,41,0.2375,4.52,2,1,1,1,198,15,20,0,1,7,57,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Validation
2006,abercre01,327000,93,67,1862,176,3,5,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,111,0,255,39,54,12,2,5,24,6,5,18,78,2,3,4,1,2,0,Training
2006,abreubo01,13600000,154,149,3897,292,10,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,156,0,548,98,163,41,2,15,107,30,6,124,138,6,3,2,9,13,0,Training
2007,abreubo01,15000000,157,150,3999,313,6,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,158,0,605,123,171,40,5,16,101,25,8,84,115,0,3,0,7,11,0,Training
2008,abreubo01,16000000,150,148,3930,270,10,2,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,156,0,609,100,180,39,4,20,100,22,11,73,109,2,1,0,1,14,0,Training
2009,abreubo01,5000000,136,136,3498,269,10,8,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,152,0,563,96,165,29,3,15,103,30,8,94,113,7,1,0,9,15,0,Training
2010,abreubo01,9000000,134,134,3464,242,7,6,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,154,0,573,88,146,41,1,20,78,24,10,87,132,3,2,0,5,13,0,Training
2011,abreubo01,9000000,28,28,674,29,2,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,142,0,502,54,127,30,1,8,60,21,5,78,113,5,1,1,3,8,0,Training
2012,abreubo01,9000000,54,50,1133,70,2,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,219,29,53,11,1,3,24,6,2,37,56,3,0,0,1,7,0,Training
2014,abreujo02,7000000,109,109,2872,970,69,6,105,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,145,0,556,80,176,35,2,36,107,3,1,51,131,15,11,0,4,14,0,Training
2015,abreujo02,8666000,115,115,3051,952,60,11,100,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,154,0,613,88,178,34,3,30,101,0,0,39,140,11,15,0,1,16,0,Training
2016,abreujo02,11666667,152,152,4067,1243,84,10,131,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,159,0,624,67,183,32,1,25,100,0,2,47,125,7,15,0,9,21,0,Validation
2008,abreuto01,393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
2010,abreuto01,407000,47,38,988,43,84,10,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,81,0,193,16,45,11,1,1,13,2,1,4,47,0,0,0,4,8,0,Training
2013,abreuto01,498000,36,25,754,47,66,3,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,138,21,37,12,3,2,14,0,2,6,33,1,1,1,1,5,0,Training
2014,abreuto01,745000,2,0,20,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Training
2006,accarje01,330000,65,0,207,2,12,0,0,0,0,0,0,0,2,4,65,0,0,0,3,207,76,41,7,20,54,0.28600000000000003,5.4399999999999995,5,4,1,1,297,27,42,1,4,3,65,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Training
2007,accarje01,392200,64,0,202,6,3,0,0,0,0,0,0,0,4,4,64,0,0,0,30,202,51,16,4,24,57,0.206,2.14,2,0,2,1,275,48,19,0,1,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2008,accarje01,392200,16,0,37,1,0,0,1,0,0,0,0,0,0,3,16,0,0,0,4,37,15,9,1,4,5,0.3,6.57,2,1,1,0,56,6,10,0,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2010,accarje01,1080000,5,0,20,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,20,12,6,0,3,3,0.4,8.1,0,2,1,0,34,2,6,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2011,accarje01,1080000,31,0,113,1,5,0,1,0,0,0,0,0,3,3,31,0,0,0,0,113,43,24,5,18,23,0.295,5.73,4,0,1,0,167,7,24,2,0,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2010,aceveal01,435650,10,0,36,0,2,0,0,0,0,0,0,0,3,0,10,0,0,0,1,36,10,4,1,4,2,0.208,3.0,1,0,1,0,53,2,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2012,aceveal01,1200000,69,0,252,9,12,2,1,0,0,0,0,0,2,10,69,0,0,0,25,252,80,50,11,31,75,0.254,5.36,2,3,6,1,361,55,51,2,7,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2013,aceveal01,2650000,11,6,111,2,7,2,0,0,0,0,0,0,4,1,11,6,0,0,0,111,42,20,8,22,24,0.288,4.86,0,0,0,2,169,3,21,0,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2012,ackledu01,2100000,153,147,3953,289,398,8,96,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,153,0,607,84,137,22,2,12,50,13,3,59,124,7,0,1,1,3,0,Training
2013,ackledu01,2700000,118,103,2850,226,152,1,31,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,113,0,384,40,97,18,2,4,31,2,3,37,72,1,1,4,1,6,0,Training
2014,ackledu01,1700000,133,127,3390,245,4,2,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,143,0,502,64,123,27,4,14,65,8,4,32,90,1,3,3,2,10,0,Training
2015,ackledu01,2600000,96,67,1852,143,18,1,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,108,0,238,28,55,11,3,10,30,2,2,18,45,0,1,3,4,3,0,Training
2016,ackledu01,3200000,23,16,421,89,8,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,28,0,61,6,9,0,0,0,4,0,0,8,9,0,0,0,1,0,0,Validation
2008,acostma01,392500,46,0,159,7,13,2,3,0,0,0,0,0,3,5,46,0,0,0,3,159,48,21,7,26,31,0.247,3.57,5,5,1,0,226,22,25,4,1,7,46,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Training
2012,acostma01,875000,45,0,142,3,2,1,0,0,0,0,0,0,1,3,45,0,0,0,1,142,48,34,7,25,46,0.259,6.46,1,2,3,0,216,7,38,1,2,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2016,adamecr01,509500,69,43,1245,68,138,6,24,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,121,0,225,25,49,7,3,2,17,2,3,24,47,0,4,3,0,5,0,Validation
2015,adamsau01,507700,28,0,100,0,4,0,0,0,0,0,0,0,2,0,28,0,0,0,1,100,37,14,2,13,23,0.276,3.78,0,1,0,0,149,9,15,2,0,3,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Training
2013,adamsda02,540000,44,38,1020,56,76,1,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,140,10,27,5,1,2,13,0,0,9,43,0,2,1,0,4,0,Training
2013,adamsma01,490000,74,63,1793,598,50,2,70,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,108,0,296,46,84,14,0,17,51,0,1,23,80,0,0,0,0,9,0,Training
2014,adamsma01,516000,133,132,3489,1115,80,9,111,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,142,0,527,55,152,34,5,15,68,3,2,26,114,5,3,0,7,9,0,Training
2015,adamsma01,534000,46,42,1056,321,32,3,30,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,175,14,42,9,0,5,24,1,0,10,41,1,0,0,1,1,0,Training
2016,adamsma01,1650000,86,69,1805,617,71,7,62,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,118,0,297,37,74,18,0,16,54,0,1,25,81,1,2,0,3,5,0,Validation
2009,adamsmi03,414800,37,0,111,4,2,0,0,0,0,0,0,0,0,0,37,0,0,0,0,111,14,3,1,8,45,0.111,0.73,1,1,0,0,136,5,9,2,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2010,adamsmi03,1000000,70,0,200,4,6,0,0,0,0,0,0,0,4,1,70,0,0,0,0,200,48,13,2,23,73,0.196,1.76,2,0,0,0,268,3,14,0,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2011,adamsmi03,2535000,75,0,221,4,5,0,0,0,0,0,0,0,5,4,75,0,0,0,2,221,44,12,5,14,74,0.1755,1.615,2,0,0,0,277,10,13,2,1,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2012,adamsmi03,4400000,61,0,157,5,12,0,2,0,0,0,0,0,5,3,61,0,0,0,1,157,56,19,4,17,45,0.269,3.27,1,2,3,0,228,7,21,0,0,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2013,adamsmi03,5000000,28,0,75,5,3,1,0,0,0,0,0,0,1,4,28,0,0,0,0,75,23,11,5,11,23,0.242,3.96,0,1,1,0,107,4,11,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2014,adamsmi03,7000000,22,0,56,0,5,0,1,0,0,0,0,0,2,1,22,0,0,0,0,56,16,6,1,8,21,0.232,2.89,1,0,0,0,79,0,8,2,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2006,adamsru01,343000,86,66,1787,100,186,12,36,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,90,0,251,31,55,14,1,3,28,1,2,22,41,0,1,3,3,5,0,Training
2011,adcocna01,414000,24,3,181,7,8,0,0,0,0,0,0,0,1,1,24,3,0,0,1,181,63,31,5,26,36,0.272,4.62,3,4,3,1,265,5,34,3,1,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2014,adducji02,501000,31,24,659,73,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,101,13,17,3,0,1,8,3,1,10,27,0,0,1,2,2,0,Training
2009,adenhni01,400000,1,1,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,7,0,0,3,5,0.292,0.0,0,1,0,0,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2014,adriaeh01,500500,35,20,594,32,70,2,12,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,97,10,23,6,0,0,5,1,1,5,22,1,1,2,1,2,0,Training
2016,adriaeh01,512500,27,10,334,11,33,2,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,63,3,16,2,0,2,7,0,1,2,13,0,2,4,0,0,0,Validation
2006,affelje01,1000000,54,9,292,1,13,1,1,0,0,0,0,0,8,8,54,9,0,0,1,292,102,67,13,55,48,0.2695,6.41,3,2,2,0,448,12,74,4,4,8,54,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Training
2007,affelje01,1250000,75,0,177,2,12,0,0,0,0,0,0,0,4,3,75,0,0,0,0,177,47,23,3,33,46,0.226,3.51,9,6,3,1,253,11,26,3,6,7,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2008,affelje01,3000000,74,0,235,7,22,1,2,0,0,0,0,0,1,1,74,0,0,0,0,235,78,29,9,25,80,0.26,3.33,0,6,3,0,335,20,36,7,0,7,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2009,affelje01,3500000,74,0,187,4,12,1,2,0,0,0,0,0,2,2,74,0,0,0,0,187,42,12,3,31,55,0.197,1.73,3,5,3,0,248,8,14,0,1,18,74,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2010,affelje01,4000000,53,0,150,3,15,3,0,0,0,0,0,0,4,3,53,0,0,0,4,150,56,23,4,24,44,0.29,4.14,5,4,3,0,228,14,25,7,1,4,53,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Training
2011,affelje01,4500000,67,0,185,7,11,0,0,0,0,0,0,0,3,2,67,0,0,0,3,185,47,18,5,24,54,0.207,2.63,3,4,4,0,259,12,22,4,0,4,67,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Training
2012,affelje01,5000000,67,0,190,5,13,1,1,0,0,0,0,0,1,2,67,0,0,0,3,190,57,19,1,23,57,0.241,2.7,1,5,3,0,267,10,23,4,0,7,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2013,affelje01,6000000,39,0,101,1,9,0,0,0,0,0,0,0,1,5,39,0,0,0,0,101,27,14,2,17,21,0.225,3.74,5,2,4,0,146,11,14,4,1,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2014,affelje01,6000000,62,0,166,0,20,0,2,0,0,0,0,0,4,2,62,0,0,0,0,166,47,14,1,14,41,0.229,2.28,1,4,4,1,225,9,14,1,1,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2015,affelje01,6000000,52,0,106,3,6,0,0,0,0,0,0,0,2,2,52,0,0,0,0,106,43,23,6,14,21,0.293,5.86,2,1,2,0,163,7,24,0,0,4,52,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Training
2006,aguilch01,327000,31,18,545,39,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,95,5,22,8,1,0,7,2,1,9,26,1,0,0,0,2,0,Training
2015,ahmedni01,508500,129,116,3127,190,368,13,84,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,134,0,421,49,95,17,6,9,34,4,5,29,81,1,1,5,3,4,0,Training
2016,ahmedni01,521600,88,80,2164,111,273,10,61,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,90,0,284,26,62,9,1,4,20,5,2,15,58,3,4,2,3,9,0,Validation
2008,albaljo01,393225,7,0,41,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,41,15,6,1,6,13,0.294,3.95,0,0,0,0,58,2,6,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2009,albaljo01,403075,32,0,103,1,7,0,0,0,0,0,0,0,5,1,32,0,0,0,0,103,41,20,6,16,21,0.306,5.24,2,0,3,0,158,5,23,1,4,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2016,alberha01,511500,30,14,452,35,57,1,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,35,0,56,2,8,1,0,0,5,1,0,0,17,0,0,2,0,1,0,Validation
2008,alberma01,395000,28,3,147,5,6,0,0,0,0,0,0,0,3,3,28,3,0,0,0,147,43,19,4,22,26,0.24,3.49,1,1,2,0,208,5,21,1,3,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2009,alberma01,410000,56,0,201,4,6,0,0,0,0,0,0,0,3,6,56,0,0,0,0,201,80,41,3,36,49,0.303,5.51,3,3,2,0,309,13,43,5,2,8,56,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Training
2010,alberma01,680000,62,0,227,6,15,1,3,0,0,0,0,0,5,3,62,0,0,0,0,227,78,38,6,34,49,0.269,4.52,5,2,2,0,329,19,41,3,0,12,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2011,alberma01,875000,56,0,194,1,8,1,0,0,0,0,0,0,4,4,56,0,0,0,0,194,62,34,7,31,68,0.251,4.73,1,2,5,0,289,10,35,4,2,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2012,alberma01,1075000,63,0,181,1,8,1,1,0,0,0,0,0,3,1,63,0,0,0,0,181,46,16,9,22,44,0.2145,2.4299999999999997,3,1,2,0,241,12,21,1,2,9,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2013,alberma01,1750000,56,0,189,4,11,1,1,0,0,0,0,0,3,1,56,0,0,0,0,189,57,22,2,23,35,0.242,3.14,3,6,1,0,262,21,25,2,0,9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2015,alberma01,1500000,30,0,112,3,8,1,1,0,0,0,0,0,2,0,30,0,0,0,0,112,31,5,3,9,28,0.228,1.21,2,0,1,0,149,5,6,0,3,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2016,alberma01,2000000,58,1,154,2,8,2,2,0,0,0,0,0,2,6,58,1,0,0,0,154,67,36,10,19,30,0.321,6.31,1,4,3,0,237,11,44,3,2,4,58,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Validation
2012,albural01,495000,8,0,40,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,40,6,1,0,8,18,0.133,0.68,0,0,0,1,53,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2013,albural01,500000,53,0,147,4,2,1,0,0,0,0,0,0,4,3,53,0,0,0,0,147,39,25,5,34,70,0.213,4.59,5,9,2,1,220,12,25,0,1,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2014,albural01,837500,72,0,172,4,5,0,1,0,0,0,0,0,3,1,72,0,0,0,1,172,46,16,7,21,63,0.219,2.51,1,2,3,2,236,15,16,0,2,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2015,albural01,1725000,67,0,186,5,9,0,2,0,0,0,0,0,4,1,67,0,0,0,0,186,63,29,4,33,58,0.269,4.21,3,5,1,4,271,12,29,1,2,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2015,alcanar01,510000,10,7,201,15,19,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,26,5,2,0,0,0,1,1,0,5,11,0,0,1,0,0,0,Training
2006,alfonan01,2750000,19,0,48,1,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,48,23,10,3,7,5,0.348,5.63,0,0,0,0,74,3,10,0,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2007,alfonan01,380000,61,0,149,1,4,0,0,0,0,0,0,0,5,2,61,0,0,0,8,149,65,30,3,27,24,0.314,5.44,6,1,1,0,236,22,31,0,1,3,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2006,alfoned01,8000000,29,22,608,19,52,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,87,5,11,2,0,0,5,0,0,7,4,0,1,0,0,2,0,Training
2007,alfonel01,382000,17,12,366,97,7,3,0,1,0,11,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,64,5,16,2,1,1,6,0,2,2,23,2,1,0,0,2,0,Training
2012,allenbr01,482500,6,5,129,29,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,20,3,2,0,0,1,3,0,0,2,9,0,0,0,0,0,0,Training
2013,allenco01,492600,77,0,211,0,5,3,0,0,0,0,0,0,6,1,77,0,0,0,2,211,62,19,7,26,88,0.233,2.43,2,9,1,0,301,12,22,4,4,2,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2014,allenco01,515400,76,0,209,2,2,0,0,0,0,0,0,0,6,4,76,0,0,0,24,209,48,16,7,26,91,0.194,2.07,5,4,1,0,279,44,21,2,2,6,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2015,allenco01,547100,70,0,208,2,4,0,0,0,0,0,0,0,2,5,70,0,0,0,34,208,56,23,2,25,99,0.219,2.99,2,9,2,0,286,58,26,1,2,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2016,allenco01,4150000,67,0,204,3,6,0,1,0,0,0,0,0,3,5,67,0,0,0,32,204,41,19,8,27,87,0.177,2.51,2,3,0,0,264,55,23,3,2,7,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Validation
2011,almoner01,414000,9,6,141,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,29,1,3,0,0,1,3,0,0,0,4,0,0,0,0,2,0,Training
2014,almonzo01,511300,10,8,233,19,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,36,2,5,0,0,1,3,1,0,0,14,0,0,0,0,1,0,Training
2006,alomasa02,650000,35,25,724,176,6,2,2,1,0,22,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,108,8,30,8,0,1,17,0,0,3,14,0,0,0,2,3,0,Training
2012,alonsyo01,1400000,149,144,3829,1269,96,12,77,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,155,0,549,47,150,39,0,9,62,3,0,62,101,9,3,1,4,14,0,Training
2013,alonsyo01,1120000,95,86,2316,761,58,3,72,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,97,0,334,34,94,11,0,6,45,6,0,32,47,5,2,0,7,9,0,Training
2014,alonsyo01,980000,80,72,1896,569,44,2,45,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,84,0,267,27,64,19,1,7,27,6,1,17,36,1,1,0,3,8,0,Training
2015,alonsyo01,1650000,104,94,2521,817,56,3,71,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,103,0,354,50,100,18,1,5,31,2,5,42,48,3,3,0,3,13,0,Training
2016,alonsyo01,2650000,152,132,3523,1157,79,5,118,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,156,0,482,52,122,34,0,7,56,3,1,45,74,1,1,0,4,15,0,Validation
2006,aloumo01,5827974,92,90,2177,173,1,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,98,0,345,52,104,25,1,22,74,2,1,28,31,2,1,0,4,15,0,Training
2007,aloumo01,7500000,84,84,2109,138,7,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,87,0,328,51,112,19,1,13,49,3,0,27,30,5,2,0,3,13,0,Training
2008,aloumo01,7500000,13,13,277,18,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,49,4,17,2,0,0,9,1,1,2,4,0,2,0,1,1,0,Training
2016,altheaa01,515500,57,54,1447,109,3,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,198,23,39,6,0,4,22,7,2,23,69,2,6,0,0,4,0,Validation
2012,altuvjo01,483000,147,142,3680,257,410,11,83,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,147,0,576,80,167,34,4,7,37,33,11,40,74,0,6,4,4,8,0,Training
2013,altuvjo01,505700,145,145,3785,273,393,9,114,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,152,0,626,64,177,31,2,5,52,35,13,32,85,5,2,4,8,24,0,Training
2014,altuvjo01,1250000,156,156,4087,268,459,10,105,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,158,0,660,85,225,47,3,7,59,56,9,36,53,7,5,1,5,20,0,Training
2015,altuvjo01,2500000,153,153,3992,247,417,5,81,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,154,0,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17,0,Training
