yearID,playerID,POS,lgID,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,awardID,Training_Validation
2014,abreujo02,1B,AL,109,109,2872,970,69,6,105,0,0,0,0,0,,Training
2015,abreujo02,1B,AL,115,115,3051,952,60,11,100,0,0,0,0,0,,Training
2016,abreujo02,1B,AL,152,152,4067,1243,84,10,131,0,0,0,0,0,,Training
2017,abreujo02,1B,AL,139,138,3591,1135,78,8,130,0,0,0,0,0,,Training
2018,abreujo02,1B,AL,114,114,2999,903,73,8,81,0,0,0,0,0,,Training
2019,abreujo02,1B,AL,125,125,3311,1012,74,8,128,0,0,0,0,0,,Training
2020,abreujo02,1B,AL,54,54,1410,430,27,5,39,0,0,0,0,0,,Training
2021,abreujo02,3B,AL,1,0,1,0,0,0,0,0,0,0,0,0,,Training
2021,abreujo02,1B,AL,135,134,3459,980,35,5,93,0,0,0,0,0,,Training
2022,abreujo02,1B,AL,128,128,3409,954,51,11,96,0,0,0,0,0,,Training
2023,abreujo02,1B,AL,134,134,3552,1017,67,5,106,0,0,0,0,0,,Validation
2013,abreuto01,SS,NL,3,2,54,2,7,1,0,0,0,0,0,0,,Training
2013,abreuto01,2B,NL,30,22,660,45,57,2,15,0,0,0,0,0,,Training
2013,abreuto01,3B,NL,3,1,40,0,2,0,0,0,0,0,0,0,,Training
2014,abreuto01,2B,NL,1,0,14,2,1,0,0,0,0,0,0,0,,Training
2014,abreuto01,3B,NL,1,0,6,0,0,0,0,0,0,0,0,0,,Training
2023,abreuwi02,OF,AL,27,19,506,40,2,1,1,0,0,0,0,0,,Validation
2013,aceveal01,P,AL,11,6,111,2,7,2,0,0,0,0,0,0,,Training
2014,aceveal01,P,AL,10,0,58,2,1,0,0,0,0,0,0,0,,Training
2021,acevedo01,P,AL,10,0,33,1,3,0,0,0,0,0,0,0,,Training
2022,acevedo01,P,AL,70,0,203,3,3,3,0,0,0,0,0,0,,Training
2023,acevedo01,P,AL,9,0,28,0,0,1,0,0,0,0,0,0,,Validation
2014,achteaj01,P,AL,7,0,33,0,1,0,0,0,0,0,0,0,,Training
2015,achteaj01,P,AL,11,0,40,1,0,1,0,0,0,0,0,0,,Training
2016,achteaj01,P,AL,27,0,113,2,4,0,0,0,0,0,0,0,,Training
2013,ackledu01,1B,AL,6,0,43,11,1,0,0,0,0,0,0,0,,Training
2013,ackledu01,OF,AL,59,54,1485,134,1,1,1,0,0,0,0,0,,Training
2013,ackledu01,2B,AL,53,49,1322,81,150,0,30,0,0,0,0,0,,Training
2014,ackledu01,OF,AL,133,127,3390,245,4,2,2,0,0,0,0,0,,Training
2015,ackledu01,OF,AL,82,54,1555,102,2,0,1,0,0,0,0,0,,Training
2015,ackledu01,1B,AL,4,3,81,28,2,0,0,0,0,0,0,0,,Training
2015,ackledu01,2B,AL,10,10,216,13,14,1,3,0,0,0,0,0,,Training
2016,ackledu01,2B,AL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2016,ackledu01,OF,AL,9,6,163,9,1,0,1,0,0,0,0,0,,Training
2016,ackledu01,1B,AL,13,10,255,80,7,0,7,0,0,0,0,0,,Training
2023,actonga01,P,AL,6,0,17,0,1,0,0,0,0,0,0,0,,Validation
2018,acunaro01,OF,NL,108,107,2808,184,3,5,0,0,0,0,0,0,,Training
2019,acunaro01,OF,NL,156,154,4092,325,10,3,1,0,0,0,0,0,,Training
2020,acunaro01,OF,NL,46,46,1130,102,0,0,0,0,0,0,0,0,,Training
2021,acunaro01,OF,NL,81,80,2026,134,4,2,0,0,0,0,0,0,,Training
2022,acunaro01,OF,NL,92,88,2379,150,4,4,0,0,0,0,0,0,,Training
2023,acunaro01,OF,NL,156,156,4083,281,10,5,1,0,0,0,0,0,,Validation
2014,adamecr01,SS,NL,5,1,67,6,10,0,2,0,0,0,0,0,,Training
2014,adamecr01,2B,NL,2,1,30,2,6,0,2,0,0,0,0,0,,Training
2015,adamecr01,2B,NL,2,2,51,4,7,0,1,0,0,0,0,0,,Training
2015,adamecr01,SS,NL,13,11,279,15,30,2,8,0,0,0,0,0,,Training
2016,adamecr01,SS,NL,47,37,1018,52,121,5,20,0,0,0,0,0,,Training
2016,adamecr01,2B,NL,11,5,161,15,14,1,3,0,0,0,0,0,,Training
2016,adamecr01,3B,NL,11,1,66,1,3,0,1,0,0,0,0,0,,Training
2017,adamecr01,SS,NL,1,1,21,1,1,0,0,0,0,0,0,0,,Training
2017,adamecr01,2B,NL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2017,adamecr01,1B,NL,1,0,3,2,0,0,0,0,0,0,0,0,,Training
2019,adamecr01,3B,NL,3,2,60,3,6,0,2,0,0,0,0,0,,Training
2019,adamecr01,2B,NL,4,3,78,4,2,0,0,0,0,0,0,0,,Training
2018,adamewi01,2B,AL,10,8,231,20,31,1,6,0,0,0,0,0,,Training
2018,adamewi01,SS,AL,75,72,1886,72,161,13,38,0,0,0,0,0,,Training
2019,adamewi01,SS,AL,152,145,3944,157,388,17,68,0,0,0,0,0,,Training
2020,adamewi01,SS,AL,53,51,1350,53,131,9,27,0,0,0,0,0,,Training
2021,adamewi01,SS,NL,96,94,2442,110,226,11,40,0,0,0,0,0,,Training
2021,adamewi01,SS,AL,40,37,1008,43,106,4,23,0,0,0,0,0,,Training
2022,adamewi01,SS,NL,136,136,3599,178,334,14,68,0,0,0,0,0,,Training
2023,adamewi01,SS,NL,147,147,3846,159,351,14,58,0,0,0,0,0,,Validation
2018,adamja01,P,AL,31,0,97,0,2,0,0,0,0,0,0,0,,Training
2019,adamja01,P,AL,23,0,65,3,2,1,1,0,0,0,0,0,,Training
2020,adamja01,P,NL,13,0,41,0,2,1,0,0,0,0,0,0,,Training
2021,adamja01,P,NL,12,0,32,1,0,0,0,0,0,0,0,0,,Training
2022,adamja01,P,AL,67,0,190,1,2,0,0,0,0,0,0,0,,Training
2023,adamja01,P,AL,56,0,163,4,5,0,1,0,0,0,0,0,,Validation
2014,adamsau01,P,AL,6,0,21,1,2,0,0,0,0,0,0,0,,Training
2015,adamsau01,P,AL,28,0,100,0,4,0,0,0,0,0,0,0,,Training
2016,adamsau01,P,AL,19,0,55,0,0,1,0,0,0,0,0,0,,Training
2019,adamsau01,P,AL,15,0,50,1,3,0,0,0,0,0,0,0,,Training
2017,adamsau02,P,NL,6,0,15,1,0,0,0,0,0,0,0,0,,Training
2018,adamsau02,P,NL,2,0,3,0,0,0,0,0,0,0,0,0,,Training
2019,adamsau02,P,NL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2019,adamsau02,P,AL,29,2,93,2,1,1,1,0,0,0,0,0,,Training
2020,adamsau02,P,NL,3,0,12,0,1,0,0,0,0,0,0,0,,Training
2021,adamsau02,P,NL,65,0,158,2,5,0,0,0,0,0,0,0,,Training
2022,adamsau02,P,NL,2,0,7,1,0,0,0,0,0,0,0,0,,Training
2023,adamsau02,P,NL,24,0,52,0,2,0,0,0,0,0,0,0,,Validation
2018,adamsch01,P,AL,3,1,23,1,0,0,0,0,0,0,0,0,,Training
2019,adamsch01,P,AL,13,0,76,0,2,0,0,0,0,0,0,0,,Training
2020,adamsch01,P,AL,6,0,26,0,1,0,0,0,0,0,0,0,,Training
2013,adamsda02,1B,AL,4,3,81,26,4,0,2,0,0,0,0,0,,Training
2013,adamsda02,2B,AL,9,6,180,16,19,0,4,0,0,0,0,0,,Training
2013,adamsda02,3B,AL,31,29,759,14,53,1,6,0,0,0,0,0,,Training
2023,adamsjo03,OF,AL,14,10,282,27,0,2,0,0,0,0,0,0,,Validation
2014,adamsla01,OF,AL,2,0,21,3,0,0,0,0,0,0,0,0,,Training
2017,adamsla01,OF,NL,41,13,516,48,1,2,0,0,0,0,0,0,,Training
2018,adamsla01,OF,NL,8,2,88,9,0,0,0,0,0,0,0,0,,Training
2013,adamsma01,1B,NL,74,63,1793,598,50,2,70,0,0,0,0,0,,Training
2014,adamsma01,1B,NL,133,132,3489,1115,80,9,111,0,0,0,0,0,,Training
2015,adamsma01,1B,NL,46,42,1056,321,32,3,30,0,0,0,0,0,,Training
2016,adamsma01,1B,NL,86,69,1805,617,71,7,62,0,0,0,0,0,,Training
2017,adamsma01,OF,NL,19,17,388,25,0,2,0,0,0,0,0,0,,Training
2017,adamsma01,1B,NL,62,58,1545,499,32,5,43,0,0,0,0,0,,Training
2018,adamsma01,OF,NL,16,12,297,21,1,0,0,0,0,0,0,0,,Training
2018,adamsma01,1B,NL,63,56,1447,390,32,3,33,0,0,0,0,0,,Training
2019,adamsma01,1B,NL,79,71,1831,502,51,5,40,0,0,0,0,0,,Training
2020,adamsma01,1B,NL,2,2,51,15,0,0,2,0,0,0,0,0,,Training
2021,adamsma01,1B,NL,7,7,150,35,7,0,3,0,0,0,0,0,,Training
2013,adamsmi03,P,NL,28,0,75,5,3,1,0,0,0,0,0,0,,Training
2014,adamsmi03,P,NL,22,0,56,0,5,0,1,0,0,0,0,0,,Training
2021,adamsri03,C,AL,11,7,189,67,6,1,0,0,0,8,0,0,,Training
2021,adamsri03,C,NL,23,20,523,159,13,0,0,0,0,16,3,0,,Training
2022,adamsri03,C,NL,44,43,1100,319,15,2,1,1,0,32,5,0,,Training
2022,adamsri03,1B,NL,1,0,27,8,1,0,0,0,0,0,0,0,,Training
2023,adamsri03,C,NL,40,38,1010,293,8,2,1,3,9,32,9,0,,Validation
2014,adcocna01,P,AL,7,0,30,0,0,0,0,0,0,0,0,0,,Training
2015,adcocna01,P,NL,13,0,54,2,3,1,0,0,0,0,0,0,,Training
2023,adcocty01,P,AL,12,0,47,1,3,0,0,0,0,0,0,0,,Validation
2013,adducji02,OF,AL,8,6,150,10,0,0,0,0,0,0,0,0,,Training
2013,adducji02,1B,AL,4,1,36,12,0,1,3,0,0,0,0,0,,Training
2014,adducji02,OF,AL,28,22,619,60,1,0,0,0,0,0,0,0,,Training
2014,adducji02,1B,AL,3,2,40,13,1,0,0,0,0,0,0,0,,Training
2017,adducji02,OF,AL,26,22,582,50,2,0,0,0,0,0,0,0,,Training
2018,adducji02,1B,AL,48,43,1094,351,14,7,22,0,0,0,0,0,,Training
2019,adducji02,OF,NL,1,1,24,5,0,0,0,0,0,0,0,0,,Training
2020,adelljo01,OF,AL,38,33,885,72,2,3,0,0,0,0,0,0,,Training
2021,adelljo01,OF,AL,35,35,908,82,2,0,1,0,0,0,0,0,,Training
2022,adelljo01,OF,AL,84,71,1769,139,5,5,1,0,0,0,0,0,,Training
2023,adelljo01,OF,AL,18,15,389,40,0,0,0,0,0,0,0,0,,Validation
2016,adlemti01,P,NL,13,13,209,6,7,0,0,0,0,0,0,0,,Training
2017,adlemti01,P,NL,30,20,367,15,12,0,1,0,0,0,0,0,,Training
2021,adonjo01,P,NL,1,1,16,0,0,0,0,0,0,0,0,0,,Training
2022,adonjo01,P,NL,14,14,194,8,7,2,0,0,0,0,0,0,,Training
2023,adonjo01,P,NL,12,10,155,6,7,0,0,0,0,0,0,0,,Validation
2013,adriaeh01,SS,NL,6,4,135,4,12,1,4,0,0,0,0,0,,Training
2014,adriaeh01,2B,NL,25,15,453,27,52,2,10,0,0,0,0,0,,Training
2014,adriaeh01,SS,NL,7,5,126,5,16,0,2,0,0,0,0,0,,Training
2014,adriaeh01,3B,NL,3,0,15,0,2,0,0,0,0,0,0,0,,Training
2015,adriaeh01,2B,NL,20,13,389,27,42,2,11,0,0,0,0,0,,Training
2015,adriaeh01,SS,NL,20,16,455,24,54,1,13,0,0,0,0,0,,Training
2015,adriaeh01,3B,NL,1,1,21,1,2,0,0,0,0,0,0,0,,Training
2015,adriaeh01,1B,NL,1,1,27,5,0,0,0,0,0,0,0,0,,Training
2016,adriaeh01,SS,NL,13,6,205,8,24,2,2,0,0,0,0,0,,Training
2016,adriaeh01,3B,NL,7,1,57,0,1,0,0,0,0,0,0,0,,Training
2016,adriaeh01,2B,NL,7,3,72,3,8,0,2,0,0,0,0,0,,Training
2017,adriaeh01,2B,AL,9,3,111,9,6,1,0,0,0,0,0,0,,Training
2017,adriaeh01,1B,AL,4,1,36,13,1,0,1,0,0,0,0,0,,Training
2017,adriaeh01,OF,AL,17,9,278,28,1,0,0,0,0,0,0,0,,Training
2017,adriaeh01,3B,AL,9,6,169,4,21,0,1,0,0,0,0,0,,Training
2017,adriaeh01,SS,AL,29,23,637,26,74,2,13,0,0,0,0,0,,Training
2018,adriaeh01,3B,AL,28,26,670,21,48,2,5,0,0,0,0,0,,Training
2018,adriaeh01,2B,AL,5,4,111,6,10,0,1,0,0,0,0,0,,Training
2018,adriaeh01,OF,AL,5,2,53,3,0,0,0,0,0,0,0,0,,Training
2018,adriaeh01,SS,AL,64,60,1602,61,138,7,30,0,0,0,0,0,,Training
2018,adriaeh01,1B,AL,10,3,116,35,4,0,7,0,0,0,0,0,,Training
2019,adriaeh01,OF,AL,7,5,118,3,1,2,0,0,0,0,0,0,,Training
2019,adriaeh01,P,AL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2019,adriaeh01,3B,AL,24,14,445,14,28,2,2,0,0,0,0,0,,Training
2019,adriaeh01,2B,AL,7,7,177,9,21,0,8,0,0,0,0,0,,Training
2019,adriaeh01,SS,AL,24,16,456,17,54,3,10,0,0,0,0,0,,Training
2019,adriaeh01,1B,AL,20,12,356,92,8,1,11,0,0,0,0,0,,Training
2020,adriaeh01,SS,AL,9,7,195,8,16,0,4,0,0,0,0,0,,Training
2020,adriaeh01,3B,AL,23,14,436,14,30,1,3,0,0,0,0,0,,Training
2020,adriaeh01,P,AL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2020,adriaeh01,2B,AL,5,3,84,7,5,0,2,0,0,0,0,0,,Training
2021,adriaeh01,OF,NL,20,16,461,28,1,0,0,0,0,0,0,0,,Training
2021,adriaeh01,3B,NL,16,8,243,7,20,0,3,0,0,0,0,0,,Training
2021,adriaeh01,SS,NL,5,1,53,1,4,0,0,0,0,0,0,0,,Training
2021,adriaeh01,2B,NL,7,4,111,6,12,0,3,0,0,0,0,0,,Training
2022,adriaeh01,P,NL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2022,adriaeh01,2B,NL,8,7,183,11,16,0,3,0,0,0,0,0,,Training
2022,adriaeh01,SS,NL,3,1,36,0,3,0,1,0,0,0,0,0,,Training
2022,adriaeh01,3B,NL,19,16,412,19,22,1,3,0,0,0,0,0,,Training
2022,adriaeh01,OF,NL,9,2,96,7,0,0,0,0,0,0,0,0,,Training
2023,adriaeh01,SS,NL,3,2,63,2,2,1,1,0,0,0,0,0,,Validation
2013,affelje01,P,NL,39,0,101,1,9,0,0,0,0,0,0,0,,Training
2014,affelje01,P,NL,62,0,166,0,20,0,2,0,0,0,0,0,,Training
2015,affelje01,P,NL,52,0,106,3,6,0,0,0,0,0,0,0,,Training
2019,agrazda01,P,NL,15,14,220,5,6,1,1,0,0,0,0,0,,Training
2014,aguilje01,3B,AL,1,0,6,0,0,0,0,0,0,0,0,0,,Training
2014,aguilje01,1B,AL,12,9,216,71,4,2,4,0,0,0,0,0,,Training
2015,aguilje01,1B,AL,4,4,108,26,3,0,1,0,0,0,0,0,,Training
2016,aguilje01,1B,AL,7,1,48,18,0,0,2,0,0,0,0,0,,Training
2017,aguilje01,1B,NL,77,52,1515,455,44,6,65,0,0,0,0,0,,Training
2017,aguilje01,3B,NL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2018,aguilje01,3B,NL,5,2,40,1,3,0,0,0,0,0,0,0,,Training
2018,aguilje01,1B,NL,132,119,3156,894,86,4,92,0,0,0,0,0,,Training
2019,aguilje01,1B,AL,15,13,339,99,7,0,11,0,0,0,0,0,,Training
2019,aguilje01,3B,NL,2,0,8,0,0,0,0,0,0,0,0,0,,Training
2019,aguilje01,1B,NL,60,52,1396,405,35,4,38,0,0,0,0,0,,Training
2020,aguilje01,3B,NL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2020,aguilje01,1B,NL,31,31,783,243,20,3,36,0,0,0,0,0,,Training
2021,aguilje01,1B,NL,113,112,2887,824,83,8,94,0,0,0,0,0,,Training
2021,aguilje01,3B,NL,2,0,6,0,2,0,0,0,0,0,0,0,,Training
2022,aguilje01,1B,AL,6,5,150,42,6,0,4,0,0,0,0,0,,Training
2022,aguilje01,3B,NL,4,0,16,1,3,0,0,0,0,0,0,0,,Training
2022,aguilje01,1B,NL,57,55,1447,432,38,4,42,0,0,0,0,0,,Training
2023,aguilje01,1B,AL,24,20,489,112,10,2,13,0,0,0,0,0,,Validation
2021,aguilmi01,P,NL,9,0,21,0,1,0,0,0,0,0,0,0,,Training
2022,aguilry01,OF,AL,7,6,168,12,0,0,0,0,0,0,0,0,,Training
2022,aguilry01,1B,AL,1,0,6,3,0,0,1,0,0,0,0,0,,Training
2014,ahmedni01,2B,NL,2,1,33,2,5,0,2,0,0,0,0,0,,Training
2014,ahmedni01,SS,NL,18,17,469,25,40,2,11,0,0,0,0,0,,Training
2015,ahmedni01,SS,NL,129,116,3127,190,368,13,84,0,0,0,0,0,,Training
2016,ahmedni01,SS,NL,88,80,2164,111,273,10,61,0,0,0,0,0,,Training
2017,ahmedni01,SS,NL,48,41,1145,44,140,5,29,0,0,0,0,0,,Training
2018,ahmedni01,SS,NL,148,135,3719,165,432,9,98,0,0,0,0,0,Gold Glove,Training
2019,ahmedni01,SS,NL,158,155,4143,207,412,13,79,0,0,0,0,0,Gold Glove,Training
2020,ahmedni01,SS,NL,57,56,1453,61,121,7,33,0,0,0,0,0,,Training
2021,ahmedni01,SS,NL,127,118,3084,170,302,9,59,0,0,0,0,0,,Training
2022,ahmedni01,SS,NL,16,15,402,16,41,1,6,0,0,0,0,0,,Training
2023,ahmedni01,SS,NL,65,56,1465,75,133,8,26,0,0,0,0,0,,Validation
2020,akinke01,P,AL,8,6,77,1,2,0,0,0,0,0,0,0,,Training
2021,akinke01,P,AL,24,17,285,0,6,0,1,0,0,0,0,0,,Training
2022,akinke01,P,AL,45,1,245,3,11,0,2,0,0,0,0,0,,Training
2023,akinke01,P,AL,24,1,71,3,2,2,0,0,0,0,0,0,,Validation
2020,akiyash01,OF,NL,52,47,1143,87,2,0,0,0,0,0,0,0,,Training
2021,akiyash01,OF,NL,61,32,1050,86,0,2,0,0,0,0,0,0,,Training
2019,alanirj01,P,AL,4,0,12,0,1,0,0,0,0,0,0,0,,Training
2019,alanirj01,P,NL,8,0,35,2,1,1,0,0,0,0,0,0,,Training
2021,alanirj01,P,NL,3,0,8,0,0,0,0,0,0,0,0,0,,Training
2013,alberan01,P,AL,10,10,180,4,9,0,1,0,0,0,0,0,,Training
2015,alberan01,P,AL,1,0,8,0,0,0,0,0,0,0,0,0,,Training
2016,alberan01,P,AL,6,2,51,1,3,0,1,0,0,0,0,0,,Training
2017,alberan01,P,AL,9,6,123,1,5,0,0,0,0,0,0,0,,Training
2021,alberan01,P,AL,5,3,57,1,1,0,0,0,0,0,0,0,,Training
2015,alberha01,3B,AL,7,2,77,2,3,0,0,0,0,0,0,0,,Training
2015,alberha01,2B,AL,24,21,570,40,73,2,14,0,0,0,0,0,,Training
2015,alberha01,SS,AL,8,3,102,4,13,0,3,0,0,0,0,0,,Training
2016,alberha01,2B,AL,6,3,99,8,9,1,2,0,0,0,0,0,,Training
2016,alberha01,3B,AL,11,4,135,1,14,0,1,0,0,0,0,0,,Training
2016,alberha01,SS,AL,9,6,178,13,33,0,10,0,0,0,0,0,,Training
2016,alberha01,1B,AL,4,1,40,13,1,0,2,0,0,0,0,0,,Training
2018,alberha01,SS,AL,5,3,90,7,10,1,3,0,0,0,0,0,,Training
2018,alberha01,3B,AL,3,1,36,0,2,0,0,0,0,0,0,0,,Training
2018,alberha01,2B,AL,4,3,75,6,8,0,3,0,0,0,0,0,,Training
2019,alberha01,2B,AL,90,66,1837,119,169,3,59,0,0,0,0,0,,Training
2019,alberha01,OF,AL,4,2,46,6,0,0,0,0,0,0,0,0,,Training
2019,alberha01,3B,AL,66,58,1424,54,115,7,14,0,0,0,0,0,,Training
2019,alberha01,P,AL,1,0,3,0,0,0,0,0,0,0,0,0,,Training
2020,alberha01,2B,AL,52,48,1238,84,107,2,24,0,0,0,0,0,,Training
2020,alberha01,3B,AL,5,4,105,4,11,0,2,0,0,0,0,0,,Training
2021,alberha01,2B,AL,31,12,404,25,35,3,10,0,0,0,0,0,,Training
2021,alberha01,SS,AL,17,11,304,15,39,0,7,0,0,0,0,0,,Training
2021,alberha01,3B,AL,49,30,882,32,53,4,8,0,0,0,0,0,,Training
2021,alberha01,P,AL,1,0,1,0,0,0,0,0,0,0,0,0,,Training
2022,alberha01,3B,NL,20,13,372,17,23,0,3,0,0,0,0,0,,Training
2022,alberha01,SS,NL,5,2,83,4,4,0,2,0,0,0,0,0,,Training
2022,alberha01,P,NL,10,0,33,2,0,0,0,0,0,0,0,0,,Training
2022,alberha01,OF,NL,1,1,18,0,0,0,0,0,0,0,0,0,,Training
2022,alberha01,1B,NL,3,0,30,7,1,0,1,0,0,0,0,0,,Training
2022,alberha01,2B,NL,37,21,559,32,54,3,14,0,0,0,0,0,,Training
2023,alberha01,2B,AL,11,8,222,18,23,1,7,0,0,0,0,0,,Validation
2023,alberha01,P,AL,2,0,5,1,0,0,0,0,0,0,0,0,,Validation
2023,alberha01,1B,AL,2,0,18,4,0,0,1,0,0,0,0,0,,Validation
2023,alberha01,3B,AL,19,12,337,16,19,3,1,0,0,0,0,0,,Validation
2013,alberma01,P,AL,56,0,189,4,11,1,1,0,0,0,0,0,,Training
2014,alberma01,P,AL,8,0,30,0,0,0,0,0,0,0,0,0,,Training
2015,alberma01,P,AL,30,0,112,3,8,1,1,0,0,0,0,0,,Training
2016,alberma01,P,AL,58,1,154,2,8,2,2,0,0,0,0,0,,Training
2017,alberma01,P,NL,63,0,183,1,5,0,0,0,0,0,0,0,,Training
2018,alberma01,P,NL,34,0,103,1,3,0,0,0,0,0,0,0,,Training
2019,alberma01,P,NL,67,0,179,2,4,0,0,0,0,0,0,0,,Training
2017,albieoz01,2B,NL,57,57,1492,92,140,3,34,0,0,0,0,0,,Training
2018,albieoz01,2B,NL,157,151,4085,248,389,10,94,0,0,0,0,0,,Training
2019,albieoz01,2B,NL,158,157,4215,273,384,4,117,0,0,0,0,0,,Training
2020,albieoz01,2B,NL,29,28,758,43,65,2,13,0,0,0,0,0,,Training
2021,albieoz01,2B,NL,156,156,4076,231,389,8,75,0,0,0,0,0,,Training
2022,albieoz01,2B,NL,64,63,1663,81,151,3,33,0,0,0,0,0,,Training
2023,albieoz01,2B,NL,148,148,3942,211,368,8,79,0,0,0,0,0,,Validation
2013,albural01,P,AL,53,0,147,4,2,1,0,0,0,0,0,0,,Training
2014,albural01,P,AL,72,0,172,4,5,0,1,0,0,0,0,0,,Training
2015,albural01,P,AL,67,0,186,5,9,0,2,0,0,0,0,0,,Training
2016,albural01,P,AL,2,0,6,0,0,0,0,0,0,0,0,0,,Training
2017,albural01,P,AL,21,0,54,2,7,0,0,0,0,0,0,0,,Training
2019,alcaljo01,P,AL,2,0,5,0,0,0,0,0,0,0,0,0,,Training
2020,alcaljo01,P,AL,16,0,72,2,1,0,0,0,0,0,0,0,,Training
2021,alcaljo01,P,AL,59,0,179,4,3,0,0,0,0,0,0,0,,Training
2022,alcaljo01,P,AL,2,0,7,0,0,0,0,0,0,0,0,0,,Training
2023,alcaljo01,P,AL,11,0,52,1,2,0,0,0,0,0,0,0,,Validation
2014,alcanar01,OF,NL,48,48,1263,111,3,5,0,0,0,0,0,0,,Training
2014,alcanar01,2B,NL,25,21,626,31,63,1,9,0,0,0,0,0,,Training
2015,alcanar01,3B,NL,2,1,30,1,1,0,0,0,0,0,0,0,,Training
2015,alcanar01,2B,NL,8,6,171,14,18,1,2,0,0,0,0,0,,Training
2016,alcanar01,SS,AL,2,1,30,1,4,0,0,0,0,0,0,0,,Training
2016,alcanar01,2B,AL,3,3,80,6,5,0,1,0,0,0,0,0,,Training
2016,alcanar01,OF,AL,5,0,30,5,0,0,0,0,0,0,0,0,,Training
2017,alcanar01,2B,NL,10,6,165,9,17,3,2,0,0,0,0,0,,Training
2017,alcanar01,OF,NL,17,4,197,23,1,0,0,0,0,0,0,0,,Training
2017,alcanar01,3B,NL,4,0,28,0,2,0,1,0,0,0,0,0,,Training
2017,alcanar01,SS,NL,6,1,64,2,9,0,1,0,0,0,0,0,,Training
2016,alcanra01,P,AL,5,5,67,0,2,0,0,0,0,0,0,0,,Training
2017,alcanra01,P,AL,8,4,72,0,1,1,0,0,0,0,0,0,,Training
2017,alcansa01,P,NL,8,0,25,0,2,1,2,0,0,0,0,0,,Training
2018,alcansa01,P,NL,6,6,102,2,3,0,0,0,0,0,0,0,,Training
2019,alcansa01,P,NL,32,32,592,10,20,4,0,0,0,0,0,0,,Training
2020,alcansa01,P,NL,7,7,126,1,4,0,0,0,0,0,0,0,,Training
2021,alcansa01,P,NL,33,33,617,24,26,4,1,0,0,0,0,0,,Training
2022,alcansa01,P,NL,32,32,686,20,28,0,2,0,0,0,0,0,,Training
2023,alcansa01,P,NL,28,28,554,14,16,5,1,0,0,0,0,0,,Validation
2020,alcanse01,2B,AL,6,2,84,5,3,0,2,0,0,0,0,0,,Training
2020,alcanse01,3B,AL,6,5,102,2,7,2,1,0,0,0,0,0,,Training
